Summary,Podsumowanie,theme,frontend/Magento/blank
"Account Dashboard",Panel,theme,frontend/Magento/blank
"Account Information","Dane konta",theme,frontend/Magento/blank
"Address Book","Książka adresowa",theme,frontend/Magento/blank
Menu,Menu,theme,frontend/Magento/blank
Account,Konto,theme,frontend/Magento/blank
Settings,Ustawienia,theme,frontend/Magento/blank
"Now Shopping by","Kupuj przez",theme,frontend/Magento/luma
Previous,Wstecz,theme,frontend/Magento/luma
Remove,Usuń,theme,frontend/Magento/luma
"Remove This Item","Usuń ten element",theme,frontend/Magento/luma
"Shop By","Kupuj wg",theme,frontend/Magento/luma
"Clear All","Wyczyść wszystko",theme,frontend/Magento/luma
"Shopping Options","Opcje zakupów",theme,frontend/Magento/luma
"Welcome to %store_name","Witamy w %store_name",theme,frontend/Magento/luma
"%name,","%name,",theme,frontend/Magento/luma
"Welcome to %store_name.","Witamy w %store_name.",theme,frontend/Magento/luma
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Aby zalogować się na naszej stronie, Użyj tych poświadczeń podczas realizacji zamówienia lub na stronie <a href=""%customer_url"">Moje konto</a>:",theme,frontend/Magento/luma
Email:,E-mail:,theme,frontend/Magento/luma
Password:,Hasło:,theme,frontend/Magento/luma
"Password you set when creating account","Hasło, które można ustawić podczas tworzenia konta",theme,frontend/Magento/luma
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Zapomniałeś swojego hasła? Kliknij <a href=""%reset_url""> tutaj</a>, aby je zresetować.",theme,frontend/Magento/luma
"When you sign in to your account, you will be able to:","Gdy zalogujesz się na swoje konto, będziesz mógł:",theme,frontend/Magento/luma
"Quick Checkout","Szybkie zamówienie",theme,frontend/Magento/luma
"Proceed through checkout faster","Przejdź szybciej przez proces zakupowy",theme,frontend/Magento/luma
"Order Status","Status zamówienia",theme,frontend/Magento/luma
"Check the status of orders","Sprawdź status zamówienia",theme,frontend/Magento/luma
"Manage Addresses","Zarządzaj adresami",theme,frontend/Magento/luma
"Store alternative addresses","Alternatywny adres sklepu",theme,frontend/Magento/luma
"For shipping to multiple family members and friends","Koszty wysyłki do wielu członków rodziny i przyjaciół",theme,frontend/Magento/luma
"Order History","Historia zamówień",theme,frontend/Magento/luma
"View past orders","Przeglądania historii zamówień",theme,frontend/Magento/luma
Footer,Stopka,theme,frontend/Magento/luma
"About Us","O Nas",theme,frontend/Magento/luma
"Customer Service","Obsługa klienta",theme,frontend/Magento/luma
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone""> %store_phone</a>",theme,frontend/Magento/luma
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Godziny pracy: < br / ><span class=""no-link"">%store_hours</span>.",theme,frontend/Magento/luma
"Credit memo for your %store_name order","Faktura korygująca do zamówienia %store_name",theme,frontend/Magento/luma
"Thank you for your order from %store_name.","Dziękuję za Twoje zamówienie z %store_name.",theme,frontend/Magento/luma
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Status zamówienia można sprawdzić po <a href=""%account_url""> zalogowaniu się do swojego konta</a>.",theme,frontend/Magento/luma
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Jeśli masz pytania dotyczące Twojego zamówienia, możesz napisz do nas na <a href=""mailto:%store_email"">%store_email</a>.",theme,frontend/Magento/luma
"Your Credit Memo #%creditmemo_id for Order #%order_id","Twoja korekta #%creditmemo_id do zamówienia #%order_id",theme,frontend/Magento/luma
"Billing Info","Informacje rozliczeniowe",theme,frontend/Magento/luma
"Shipping Info","Informacje wysyłkowe",theme,frontend/Magento/luma
"Payment Method","Metoda płatności",theme,frontend/Magento/luma
"Shipping Method","Metoda dostawy",theme,frontend/Magento/luma
"Update to your %store_name credit memo","Aktualizacja do faktury korygującej %store_name",theme,frontend/Magento/luma
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Twoje zamówienie #%increment_id zostało wzbogacone o status <strong>%order_status</strong>.",theme,frontend/Magento/luma
"Invoice for your %store_name order","Faktura za zamówienie %store_name",theme,frontend/Magento/luma
"Your Invoice #%invoice_id for Order #%order_id","Twoja #%invoice_id faktura dla zamówienia #%order_id",theme,frontend/Magento/luma
"Update to your %store_name invoice","Aktualizacja do faktury %store_name",theme,frontend/Magento/luma
"Your %store_name order confirmation","Potwierdzenie zamówienia w sklepie %store_name",theme,frontend/Magento/luma
"%customer_name,","%customer_name,",theme,frontend/Magento/luma
"Once your package ships we will send you a tracking number.","Kiedy twoja paczka będzie już w drodze wyślemy tobie numer do śledzenia transportu.",theme,frontend/Magento/luma
"Your Order <span class=""no-link"">#%increment_id</span>","Twoje zamówienie <span class=""no-link""> #%increment_id</span>",theme,frontend/Magento/luma
"Placed on <span class=""no-link"">%created_at</span>","Umieszczony na <span class=""no-link"">%created_at</span>",theme,frontend/Magento/luma
"Update to your %store_name order","Aktualizacja do zamówienia w sklepie %store_name",theme,frontend/Magento/luma
"Your %store_name order has shipped","Twoje zamówienie w sklepie %store_name zostało wysłane",theme,frontend/Magento/luma
"Your shipping confirmation is below. Thank you again for your business.","Potwierdzenie wysyłki jest poniżej. Jeszcze raz dziękuję za twoje zamówienie.",theme,frontend/Magento/luma
"Your Shipment #%shipment_id for Order #%order_id","Twój #%shipment_id wysyłki dla zamówienia #%order_id",theme,frontend/Magento/luma
"Update to your %store_name shipment","Aktualizacja do przesyłki %store_name",theme,frontend/Magento/luma
"Account Dashboard",Panel,theme,frontend/Magento/luma
"Account Information","Dane konta",theme,frontend/Magento/luma
"Address Book","Książka adresowa",theme,frontend/Magento/luma
